"gvkey","car2","e2","car1","e1","gamma1pre","gamma2pre","gamma1post","gamma2post"
1004,-0.091799703,-0.022935128,0.122422185,-0.023145469,-0.0891916593933253,-205.471835384556,3.37823497901979,40.9736430156471
1013,0.051226818,0.07282044,-0.107142182,-0.003961976,0.53033511549501,357.505710600098,-1.27683189010697,8.6405159261312
1034,-0.233860164,-0.00022282,-0.20854201,-0.017174616,-0.879875027562232,-71.921757518158,3.96458824156874,1.15329897250159
1038,-0.328282147,-0.075461321,0.279324091,-0.066712759,2.22066297407264,0.10195605178044,-3.21429914514767,104.951402694996
1045,0.159462287,0.07282044,0.059906893,-0.064081386,2.20068742453407,-15.284561891828,-1.27683189010697,8.6405159261312
1056,0.075610964,-0.001995118,-0.229349152,-0.010946759,-1.09148139663766,43.6475862994448,3.84637945206177,118.569381687811
1072,0.066099968,-0.004216135,0.444751584,0.067280851,2.8245877056126,-9.57563732252598,3.55991629119614,127.512814102746
1078,-0.033763264,-0.003467306,-0.063902441,0.00754243,3.31354710524182,4.57794382162665,3.65687937413239,131.929378292593
1081,-0.052924718,-0.016994284,-0.100901313,0.02539411,0.900897696750124,-284.364962497724,3.18272826761798,-71.2015260819296
1111,0.103662507,0.017590633,0.366014066,0.052129965,1.18082358846174,166.908884345017,1.82994742835052,-2.45268563858961
1161,0.133825386,0.046895687,-0.059358204,-0.020283381,-0.570282992649067,-136.426839697164,-1.05514162327915,-180.986114944589
1209,-0.068588187,-0.004959615,-0.05586854,0.01258959,2.76596744837959,-165.722476310667,3.46743972996226,120.95302264642
1230,0.083112041,0.017425058,-0.034901113,-0.028134201,0.998343525350817,-209.857816959221,1.83039458374237,-2.94855720425069
1239,0.06225335,0.003902481,0.021086139,0.006149571,3.28497798015359,42.8334006530365,3.51549698457441,-159.841165458573
1240,-0.010468899,0.00087711,-0.237928653,0.000868553,2.21976806358597,339.763676552696,3.92597448507135,-72.0586623565202
1243,0.09434431,-0.003709842,-0.097719213,-0.004302068,0.408695000879406,357.830813726296,3.6251110112406,130.065883372795
1246,-0.0424383,-0.001321743,0.146341912,0.006979118,3.3075617376223,15.3525389077778,3.91592746428352,85.047238070704
1254,-0.015514324,0.002608562,-0.179227759,0.05394014,1.47330934926207,156.248557118192,3.71458908795463,-145.906322679965
